id,source,target,value
331290,UCWtNb880NXKRtPjRxWPfh6g,UCWtNb880NXKRtPjRxWPfh6g,1
331291,UCWtNb880NXKRtPjRxWPfh6g,UCLFTXAQyb8qMevwPpWdr9Ew,1
331292,UCWtNb880NXKRtPjRxWPfh6g,UCXoNRsu9LjOPXUi-Nhd2oig,1
331293,UCWtNb880NXKRtPjRxWPfh6g,UCSkeY5PBBs0-fdS-fCDSUfQ,1
331294,UCWtNb880NXKRtPjRxWPfh6g,UC7VjYYS2cMdlRCTpgSv6b-w,1
331295,UCWtNb880NXKRtPjRxWPfh6g,UCh8YGQQCz0KeMHYVavp_HJg,1
331296,UCWtNb880NXKRtPjRxWPfh6g,UCA1eeJeY7CF_ALSNZZy4ZMg,1
331297,UCWtNb880NXKRtPjRxWPfh6g,UCz5MZ2qvTqYJvN01I5aj0ww,1
331298,UCWtNb880NXKRtPjRxWPfh6g,UCGobsIB72NFvdFqvbQEriew,1
331299,UCWtNb880NXKRtPjRxWPfh6g,UCMsMmaBaW2ykP5v6qd0ry0Q,1
331300,UCWtNb880NXKRtPjRxWPfh6g,UCpnFoh7QZyBbmSfUrV3XDYA,1
331301,UCWtNb880NXKRtPjRxWPfh6g,UCMZylaW6_Op-u8j6m_SNYwg,1
331302,UCWtNb880NXKRtPjRxWPfh6g,UCuAU1M8AjD6InfTjcEhxggA,1
331303,UCWtNb880NXKRtPjRxWPfh6g,UC_2AxD5NWkMPlBc2F1OROcQ,1
331304,UCWtNb880NXKRtPjRxWPfh6g,UCusT5C9mTIho8zjL0Rl05Fw,1
331305,UCWtNb880NXKRtPjRxWPfh6g,UCSqrSkYrAHvpy7DIyN6DG4g,1
331306,UCWtNb880NXKRtPjRxWPfh6g,UChUV1sEC7Qdnm9ZR2dk2APg,1
331307,UCWtNb880NXKRtPjRxWPfh6g,UCCeBZespcuW3q0HRR-_FdhA,1
331308,UCWtNb880NXKRtPjRxWPfh6g,UCDnuq9rvMPnvImqxELceBQA,1
331309,UCWtNb880NXKRtPjRxWPfh6g,UCFB_EQUZ4f0190mzD33DvQw,1
331310,UCWtNb880NXKRtPjRxWPfh6g,UCcVU1IZBxqmHyexQQnG9aRg,1
331311,UCMzOoJp9JqlAYBM74KignOg,UCMzOoJp9JqlAYBM74KignOg,1
331312,UCMzOoJp9JqlAYBM74KignOg,UCK-Dq_Rc0bBbwrk9fwAt-qA,1
331313,UCMzOoJp9JqlAYBM74KignOg,UCtSwJ8Fy7KCAZSRkIHvluLA,1
331314,UCMzOoJp9JqlAYBM74KignOg,UCntSwfDiCvgWORSON1HZrqA,1
331315,UCMzOoJp9JqlAYBM74KignOg,UCNtbffT3GqqptqKvD1Q_NHw,1
331316,UCMzOoJp9JqlAYBM74KignOg,UCtRidlWvGPmHUV-M0aAtaDQ,1
331317,UCMzOoJp9JqlAYBM74KignOg,UCdasF5zTstjJwVXTwbpoftw,1
331318,UCMzOoJp9JqlAYBM74KignOg,UCdy_8RGFRsO28fPAjG4tOHQ,1
331319,UCMzOoJp9JqlAYBM74KignOg,UCubBxImODw1D79-3NDYMfxQ,1
331320,UCMzOoJp9JqlAYBM74KignOg,UCNu5NsVI-FrCX6MTN_9_i6Q,1
331321,UCMzOoJp9JqlAYBM74KignOg,UC4GGiOqsvH0_j2UbRdGM5fA,1
331322,UCMzOoJp9JqlAYBM74KignOg,UCztNF2HPNqVSVzkRCHBOz4A,1
331323,UCMzOoJp9JqlAYBM74KignOg,UCTk2ZQm7dQnJp-QztqUvAHw,1
331324,UCMzOoJp9JqlAYBM74KignOg,UCbWChkHBAbqFgC1evaxm2Dg,1
331325,UCMzOoJp9JqlAYBM74KignOg,UC4qHdMC6PTXSWpC-9Zr-Wbg,1
331326,UCMzOoJp9JqlAYBM74KignOg,UC482k8wmyx-jX4l82KA3Qiw,1
331327,UCMzOoJp9JqlAYBM74KignOg,UCxB2uxBgaMIThRz_lGrcYvw,1
