,id,source,target,value,From,To
0,331290,UCWtNb880NXKRtPjRxWPfh6g,UCWtNb880NXKRtPjRxWPfh6g,1,402,402
1,331291,UCWtNb880NXKRtPjRxWPfh6g,UCLFTXAQyb8qMevwPpWdr9Ew,1,402,253
2,331292,UCWtNb880NXKRtPjRxWPfh6g,UCXoNRsu9LjOPXUi-Nhd2oig,1,402,416
3,331293,UCWtNb880NXKRtPjRxWPfh6g,UCSkeY5PBBs0-fdS-fCDSUfQ,1,402,351
4,331294,UCWtNb880NXKRtPjRxWPfh6g,UC7VjYYS2cMdlRCTpgSv6b-w,1,402,90
5,331295,UCWtNb880NXKRtPjRxWPfh6g,UCh8YGQQCz0KeMHYVavp_HJg,1,402,544
6,331296,UCWtNb880NXKRtPjRxWPfh6g,UCA1eeJeY7CF_ALSNZZy4ZMg,1,402,117
7,331297,UCWtNb880NXKRtPjRxWPfh6g,UCz5MZ2qvTqYJvN01I5aj0ww,1,402,765
8,331298,UCWtNb880NXKRtPjRxWPfh6g,UCGobsIB72NFvdFqvbQEriew,1,402,199
9,331299,UCWtNb880NXKRtPjRxWPfh6g,UCMsMmaBaW2ykP5v6qd0ry0Q,1,402,282
10,331300,UCWtNb880NXKRtPjRxWPfh6g,UCpnFoh7QZyBbmSfUrV3XDYA,1,402,647
11,331301,UCWtNb880NXKRtPjRxWPfh6g,UCMZylaW6_Op-u8j6m_SNYwg,1,402,277
12,331302,UCWtNb880NXKRtPjRxWPfh6g,UCuAU1M8AjD6InfTjcEhxggA,1,402,705
13,331303,UCWtNb880NXKRtPjRxWPfh6g,UC_2AxD5NWkMPlBc2F1OROcQ,1,402,441
14,331304,UCWtNb880NXKRtPjRxWPfh6g,UCusT5C9mTIho8zjL0Rl05Fw,1,402,714
15,331305,UCWtNb880NXKRtPjRxWPfh6g,UCSqrSkYrAHvpy7DIyN6DG4g,1,402,352
16,331306,UCWtNb880NXKRtPjRxWPfh6g,UChUV1sEC7Qdnm9ZR2dk2APg,1,402,547
17,331307,UCWtNb880NXKRtPjRxWPfh6g,UCCeBZespcuW3q0HRR-_FdhA,1,402,149
18,331308,UCWtNb880NXKRtPjRxWPfh6g,UCDnuq9rvMPnvImqxELceBQA,1,402,161
19,331309,UCWtNb880NXKRtPjRxWPfh6g,UCFB_EQUZ4f0190mzD33DvQw,1,402,174
20,331310,UCWtNb880NXKRtPjRxWPfh6g,UCcVU1IZBxqmHyexQQnG9aRg,1,402,488
21,331311,UCMzOoJp9JqlAYBM74KignOg,UCMzOoJp9JqlAYBM74KignOg,1,284,284
22,331312,UCMzOoJp9JqlAYBM74KignOg,UCK-Dq_Rc0bBbwrk9fwAt-qA,1,284,236
23,331313,UCMzOoJp9JqlAYBM74KignOg,UCtSwJ8Fy7KCAZSRkIHvluLA,1,284,698
24,331314,UCMzOoJp9JqlAYBM74KignOg,UCntSwfDiCvgWORSON1HZrqA,1,284,619
25,331315,UCMzOoJp9JqlAYBM74KignOg,UCNtbffT3GqqptqKvD1Q_NHw,1,284,296
26,331316,UCMzOoJp9JqlAYBM74KignOg,UCtRidlWvGPmHUV-M0aAtaDQ,1,284,697
27,331317,UCMzOoJp9JqlAYBM74KignOg,UCdasF5zTstjJwVXTwbpoftw,1,284,499
28,331318,UCMzOoJp9JqlAYBM74KignOg,UCdy_8RGFRsO28fPAjG4tOHQ,1,284,505
29,331319,UCMzOoJp9JqlAYBM74KignOg,UCubBxImODw1D79-3NDYMfxQ,1,284,710
30,331320,UCMzOoJp9JqlAYBM74KignOg,UCNu5NsVI-FrCX6MTN_9_i6Q,1,284,297
31,331321,UCMzOoJp9JqlAYBM74KignOg,UC4GGiOqsvH0_j2UbRdGM5fA,1,284,55
32,331322,UCMzOoJp9JqlAYBM74KignOg,UCztNF2HPNqVSVzkRCHBOz4A,1,284,777
