,0
0,8
1,22
2,8
3,8
4,6
5,22
6,4
7,8
8,8
9,1
10,9
11,2
12,4
13,8
14,28
15,22
16,28
17,22
18,2
19,8
20,4
21,22
22,22
23,22
24,22
25,22
26,22
27,22
28,3
29,4
30,22
31,22
32,8
33,22
34,22
35,22
36,22
37,2
38,8
39,3
40,2
41,22
42,8
43,8
44,8
45,2
46,13
47,8
48,8
49,22
50,22
51,22
52,22
53,8
54,2
55,2
56,22
57,8
58,27
59,23
60,2
61,11
62,2
63,8
64,4
65,22
66,28
67,12
68,1
69,0
70,3
71,8
72,2
73,2
74,2
75,15
76,4
77,8
78,9
79,8
80,8
81,8
82,22
83,8
84,2
85,3
86,8
87,4
88,22
89,22
90,19
91,2
92,23
93,22
94,2
95,22
96,8
97,26
98,9
99,28
100,8
101,8
102,2
103,22
104,8
105,11
106,8
107,8
108,24
109,2
110,3
111,3
112,22
113,8
114,4
115,2
116,15
117,19
118,2
119,15
120,15
121,8
122,11
123,2
124,22
125,8
126,22
127,22
128,8
129,9
130,15
131,1
132,8
133,22
134,3
135,6
136,8
137,15
138,22
139,8
140,22
141,15
142,22
143,26
144,8
145,22
146,8
147,8
148,8
149,19
150,13
151,6
152,22
153,22
154,26
155,22
156,9
157,4
158,22
159,4
160,2
161,19
162,2
163,26
164,15
165,8
166,15
167,23
168,22
169,22
170,4
171,8
172,22
173,9
174,19
175,8
176,8
177,2
178,4
179,28
180,22
181,22
182,3
183,8
184,2
185,8
186,8
187,8
188,6
189,22
190,22
191,26
192,8
193,22
194,2
195,2
196,22
197,28
198,22
199,19
200,4
201,22
202,2
203,22
204,4
205,2
206,2
207,2
208,28
209,22
210,15
211,8
212,1
213,2
214,22
215,8
216,23
217,8
218,8
219,8
220,2
221,6
222,28
223,23
224,8
225,2
226,22
227,2
228,15
229,11
230,8
231,9
232,1
233,2
234,8
235,8
236,2
237,22
238,8
239,28
240,22
241,22
242,2
243,8
244,8
245,22
246,8
247,22
248,8
249,22
250,8
251,8
252,15
253,19
254,12
255,8
256,2
257,22
258,2
259,22
260,4
261,14
262,13
263,15
264,8
265,3
266,22
267,22
268,22
269,4
270,22
271,8
272,22
273,26
274,4
275,22
276,3
277,19
278,22
279,2
280,22
281,2
282,19
283,2
284,2
285,3
286,28
287,2
288,3
289,4
290,24
291,8
292,3
293,8
294,22
295,8
296,2
297,2
298,17
299,15
300,2
301,8
302,13
303,1
304,3
305,2
306,1
307,2
308,8
309,8
310,2
311,22
312,15
313,8
314,22
315,8
316,11
317,2
318,8
319,8
320,2
321,22
322,23
323,3
324,26
325,22
326,22
327,22
328,2
329,22
330,2
331,4
332,2
333,28
334,2
335,12
336,22
337,8
338,2
339,3
340,9
341,22
342,8
343,2
344,8
345,2
346,2
347,8
348,4
349,28
350,8
351,19
352,19
353,8
354,2
355,28
356,4
357,2
358,8
359,28
360,8
361,8
362,2
363,7
364,22
365,20
366,1
367,3
368,22
369,2
370,28
371,3
372,2
373,22
374,28
375,22
376,22
377,8
378,8
379,28
380,22
381,22
382,15
383,3
384,22
385,8
386,3
387,8
388,2
389,4
390,2
391,13
392,2
393,1
394,8
395,8
396,8
397,2
398,4
399,22
400,2
401,9
402,19
403,22
404,9
405,8
406,23
407,4
408,4
409,22
410,2
411,8
412,22
413,22
414,8
415,2
416,19
417,1
418,8
419,22
420,2
421,15
422,8
423,1
424,9
425,22
426,2
427,8
428,8
429,2
430,28
431,2
432,23
433,22
434,28
435,2
436,8
437,8
438,6
439,3
440,8
441,19
442,26
443,2
444,15
445,2
446,8
447,2
448,8
449,22
450,8
451,22
452,3
453,4
454,8
455,26
456,8
457,2
458,22
459,22
460,4
461,8
462,8
463,22
464,28
465,2
466,3
467,2
468,22
469,2
470,8
471,2
472,22
473,8
474,22
475,3
476,1
477,22
478,2
479,4
480,26
481,13
482,8
483,1
484,3
485,8
486,26
487,2
488,19
489,28
490,22
491,26
492,3
493,22
494,8
495,8
496,3
497,2
498,8
499,2
500,15
501,5
502,3
503,28
504,15
505,2
506,28
507,22
508,2
509,13
510,15
511,3
512,8
513,22
514,22
515,22
516,2
517,22
518,31
519,28
520,8
521,8
522,22
523,22
524,1
525,22
526,8
527,22
528,22
529,4
530,21
531,2
532,9
533,8
534,8
535,3
536,22
537,2
538,22
539,22
540,8
541,22
542,8
543,4
544,19
545,8
546,8
547,10
548,2
549,3
550,22
551,4
552,5
553,4
554,23
555,9
556,4
557,22
558,3
559,2
560,6
561,22
562,28
563,22
564,22
565,9
566,2
567,22
568,22
569,8
570,2
571,22
572,22
573,8
574,8
575,2
576,4
577,2
578,3
579,22
580,28
581,22
582,23
583,22
584,6
585,9
586,22
587,22
588,1
589,15
590,8
591,8
592,8
593,8
