id,userId,userName,nbvideosvues
22055,UCWtNb880NXKRtPjRxWPfh6g,"Erikinha Barduco",1
22056,UCMzOoJp9JqlAYBM74KignOg,"Gaara Mil Grau",1
22057,UCCGwvQR0lCBeBIC_e3fWlOg,DOCMAN,1
22058,UCK-Dq_Rc0bBbwrk9fwAt-qA,"Max Frederico",1
22059,UCuA843xJR8WbtAw7rtl02IQ,FireBomberBassist,9
22060,UCmk8RxqDYYYBiY4nUI0L3pQ,Vegito,1
22061,UCP6rc_V0VXsTM0d6zhE8OMw,"Noé Violas",1
22062,UCLFTXAQyb8qMevwPpWdr9Ew,Eliott,1
22063,UCGQ9QjXVYTxKldUqZDFeuTg,Uraccountcrashed,1
22064,UCKUkn4-5Oj-9ySvrk_ge1Gg,"Nick H",2
22065,UCP4U1HvElusfy5gTPD_hbvg,"Yoann G",3
22066,UCpKL0YIVT4ZVkM1Flyb7HQQ,ir10031981,6
22067,UC4yoG05SxeMBryQVdU5iW0g,"Janick B.S.",1
22068,UCDXrOmDbrbwjUKsNmxisjWQ,"clément balay",1
22069,UCBNaVGwcvmc44Eg145tLyrA,OmegaBot890,1
22070,UCnXqabiEWvHiImHBvxLma6g,6miesk,1
22071,UCsxuTpj8uNAQL7GRrzgyboA,"Adrián Rincón Domínguez",1
22072,UCqsEC6qqNXVGPipW6MCjRmg,keejeeHD,1
22073,UCtSwJ8Fy7KCAZSRkIHvluLA,makerr,1
22074,UChk5oXJ9OmbzDCc0DKFCa1g,"Tyrone Thompson",2
22075,UCXoNRsu9LjOPXUi-Nhd2oig,"Xavier V",2
22076,UCguW3XMk-TOU6CwESxmRzhA,"Thib A",1
22077,UCADiyVWmR9AnWe7LT5T8mgg,"Vitamin L",2
22078,UCSN6MEzGxI2ZYeX7Ms2irZg,Kvatch59,1
22079,UCAf1xIReEswoUXEgil0W8dw,"Tera Tokomi",1
22080,UCqv2henE4vKDcIImVzcSXTw,fireflocs,2
22081,UCUKhtqofjdTqDp7FJp24YVg,"Ataï",1
22082,UCmnNcmm5ZB5m5akCAkem_3A,"Valentine Noodle",1
22083,UCXijACxBWdrxnUNIpjXntug,"Robusto Gamer",1
22084,UCffcxXGghg2AS0cCzg0QD-A,"Arnaud C",1
22085,UCXa62yqKuIYIbta0YP6YSzA,"Je Suis Sauron",1
22086,UCLoQUGNJJEm23Laza3J2EHQ,Mucrulu,1
22087,UCBW0FBaYWAfnTQ_PV5k7Yog,Jey,1
22088,UCAyRkm9rUaBdsM-25mh9J9A,"Netoile Netoile",1
22089,UCBsRpQUN9I3VoSXVya60rtA,"Nostalgía 8bits",1
22090,UCW38G7xcqtgltlhYUf3A_ag,"Axel Marnier",2
22091,UCKm20rvc0X4RlX1Wt4Rg7fQ,TheCandoheavy,1
22092,UCoNcXx9AX-i7BCS9rVHyckA,HoloBat,2
22093,UCx5dG4olKzCluIonbCdodTQ,"Pernico Pernico",1
22094,UCntSwfDiCvgWORSON1HZrqA,"Ulises Rada",1
22095,UCVgbym_GHHHTdrXuLP_jDhQ,"Floyd FrozenSoul",1
22096,UCngDsTS3YNSTG-NlWkCA_Jg,Senjo,1
22097,UCMPCHZvTfXkZSse9u8-Z5uQ,jaca50,1
22098,UCzCIEMsEZUbJU_8arYcyv3w,"Lexeum 00",1
22099,UCEjJ2YcXYQeOhJgHc-tyaNw,Lumines,1
22100,UCAyBJ1NJ0cMofGIRBcAKpSg,"johnny jazz",2
22101,UCNtbffT3GqqptqKvD1Q_NHw,darkbladetri,1
22102,UCNGM--xw-I1ywd3Hb7w7WBA,Edencrafty127,4
22103,UCkmcVPNfHcMgPMzqG2MuP6Q,"No Chill",1
22104,UCxrSNtgCzby8Hexn7KWAk2w,TheReysept,2
22105,UCXTynZB8RUwhvFGIq5L1Oig,"Proto Legacy",1
22106,UC6lxMcf5AnFJq4sE_41xVgA,Degmo,1
22107,UCO31qqgb2q_qykXn5si1e2g,MegaZeroX7,1
22108,UCvTkkQp9fl-yP0mV3g40Y-w,"Gary Over",1
22109,UCytlS2NEj3CGKSVNNlAhJDg,Hyiga,1
22110,UCB_oVB9JyoaY3-kb5JyaiDg,"Taka Hinotori",1
22111,UCtGHtmJZQcBUmod7-TpOvRw,"Sud 14",1
22112,UCCwnwWv0-zu4i3k_P8RuV5w,"Dragon Izu",1
22113,UCCP40ValzXewc09yj8PbVZA,"Andres Meza",1
22114,UCxQ1PK_jJdYrPgmj5Ui6Gew,"Mystic N",1
22115,UCcFCj9SfSJgwMgnjN-PX8pg,ShelvasKT,2
22116,UCe4vNOiE6JFCTio6DMiNptQ,papygrauner,1
22117,UCUD2bkq1GH59J0XXPZSEiXA,159vivemoi,1
22118,UCVUVBfiJ9eBF2Kn2J2dQ_zg,"Benjamin Martin",1
22119,UCqYp5SQ4fxIeUCLpsd9UNvw,"Beads Art Brasil",1
22120,UCtRidlWvGPmHUV-M0aAtaDQ,"David Thomazone",4
22121,UCdasF5zTstjJwVXTwbpoftw,"Masamune Date",1
22122,UCGJu9xvuq6RKURM-CH-WS4w,"Rainbow Man",1
22123,UCe6nyWuI8sXfN170__5zfEA,"James Hernandez",1
22124,UCZ4SIDtPDvzUgDjJ2jsnw0g,"strilax camille",1
22125,UClifPH3wOR4VBqGvKzsud6Q,Akumael,1
22126,UCdy_8RGFRsO28fPAjG4tOHQ,"Jorge Nicolás",1
22127,UC2scsteaUMMwpQ2MV2JRtPw,Macdevis,1
22128,UCItezlLOGBDT5LC_3Z-ttHA,Leofashionista1,1
22129,UCffFs704BXhqpbL4XG1KSCA,"John Schumacher",1
22130,UCQwMCimHx53D_PDaRzJrfog,FOLAX,1
22131,UCTa-cVPn4inMhghc8LUOvKw,KFlorent13,1
22132,UC3wi5wcvIJ6q99BE1SiZeWg,"Doomsday Device",1
22133,UCZsj3bil01klZHKTjB4XBig,"yellowpig 10",1
22134,UCMEFIaYryqbfie6RrjY-w9Q,ribot02,1
22135,UCubBxImODw1D79-3NDYMfxQ,"all sounds the same - intelligent music",2
22136,UCNu5NsVI-FrCX6MTN_9_i6Q,BigBlackBootyDaddy,1
22137,UCw0b79R0j45si8ZVFe1SyNQ,"이섭",1
22138,UC-Zyw_V0UYgTs3oRh7viAhA,"Jaegar Ultima",2
22139,UCBzAz7CpWwrV-iyhYUacYJA,"Cosmic Man",1
22140,UCsBHZED9WfoZfVCdodLJ71w,"keoshi Nayares",1
22141,UCVRICl3laBc-hH3y0BKs4tg,"Mario Paul",1
22142,UCy3tPZT2upDm9l8ycf8paSQ,Zoakith,1
22143,UC1mokGGrnmHUkJmtGWMRwRQ,"Joshua John Dingli",1
22144,UCUGLRTP97DxldbLNOKMeedA,"Jake Coppola",1
22145,UCeDLW2N4a926Rcy0eVg3epg,SitronVert,1
22146,UCM6vHVEoaGVUQR8yvHGntZg,"Gavin Dragon",1
22147,UC4GGiOqsvH0_j2UbRdGM5fA,"Kickman The",1
22148,UCN4f-719_OtZFH3z17CXOwQ,2wMaliman,1
22149,UCYh3s5XnUUptbxf8i2LQt1w,"Infinity Duel Master",1
22150,UCztNF2HPNqVSVzkRCHBOz4A,"Embrace The Light",1
22151,UCgA6gSZ4xqX9afeH3qWULRQ,"oO Hal-koL Oo",1
22152,UC8ZZdDhRHoc7bv2KKu8gURA,haaaaaaaaaaaa,1
22153,UCS0PdQc_6ATbuB5-ySVOV7A,Rai_Zel,2
22154,UCrCuBNpAcj0YIHGBxQ2TDXg,"duk bomb",1
